file_name,language,total_lines,blank_lines,comment_lines,comment_ratio,avg_line_length,max_line_length,long_lines_count,max_indentation,num_functions,num_classes,num_if_else,num_loops,num_try_except,has_docstrings,single_letter_vars,magic_numbers,avg_func_length,max_func_length,very_long_functions,label
flask_docs_conf.py,python,101,17,4,0.039603960396039604,40.107142857142854,89,6,2,2,0,5,0,0,0,0,1,10.5,20,0,1
flask_examples_celery_make_celery.py,python,4,1,0,0.0,33.666666666666664,44,0,0,0,0,0,0,0,0,0,0,0.0,0,0,1
flask_examples_celery_src_task_app_tasks.py,python,23,8,0,0.0,31.733333333333334,85,1,2,3,0,0,1,0,0,0,0,2.6666666666666665,4,0,1
flask_examples_celery_src_task_app_views.py,python,38,10,0,0.0,33.714285714285715,76,0,2,4,0,0,0,0,0,2,0,4.5,8,0,1
flask_examples_celery_src_task_app___init__.py,python,39,8,0,0.0,32.61290322580645,71,0,4,4,1,0,0,0,0,0,0,5.5,11,0,1
flask_examples_javascript_js_example_views.py,python,18,5,0,0.0,32.61538461538461,48,0,1,2,0,0,0,0,0,2,0,2.5,3,0,1
flask_examples_javascript_js_example___init__.py,python,5,2,0,0.0,31.666666666666668,49,0,0,0,0,0,0,0,0,0,0,0.0,0,0,1
flask_examples_tutorial_flaskr_auth.py,python,116,26,68,0.5862068965517241,36.333333333333336,87,1,5,6,0,12,0,1,1,0,0,11.833333333333334,30,0,1
flask_examples_tutorial_flaskr_blog.py,python,125,25,71,0.568,32.8,86,1,4,5,0,10,0,0,1,0,4,16.6,26,0,1
flask_examples_tutorial_flaskr_db.py,python,56,16,20,0.35714285714285715,32.525,86,2,3,5,0,2,0,0,1,0,0,6.0,10,0,1
flask_examples_tutorial_flaskr___init__.py,python,48,12,42,0.875,38.72222222222222,72,0,2,2,0,2,0,0,1,0,0,16.0,17,0,1
flask_src_flask_app.py,python,1625,300,782,0.48123076923076924,49.14943396226415,112,37,9,41,2,93,18,9,1,1,23,28.076923076923077,119,3,1
flask_src_flask_blueprints.py,python,128,26,48,0.375,44.26470588235294,85,3,3,4,1,6,0,0,1,0,1,21.25,32,0,1
flask_src_flask_cli.py,python,1127,228,916,0.8127772848269743,40.689655172413794,100,33,6,36,6,77,11,18,1,1,2,21.666666666666668,68,2,1
flask_src_flask_config.py,python,367,81,181,0.49318801089918257,45.93706293706294,87,4,6,14,3,18,5,3,1,1,2,16.307692307692307,45,0,1
flask_src_flask_ctx.py,python,540,137,275,0.5092592592592593,44.583126550868485,97,19,4,32,2,27,0,4,1,0,7,9.53125,42,0,1
flask_src_flask_debughelpers.py,python,179,33,62,0.3463687150837989,41.34931506849315,85,3,5,7,4,17,4,1,1,0,4,16.285714285714285,47,0,1
flask_src_flask_globals.py,python,77,19,15,0.19480519480519481,41.293103448275865,81,2,3,2,6,2,0,0,1,0,0,6.0,10,0,1
flask_src_flask_helpers.py,python,682,148,402,0.5894428152492669,45.859550561797754,90,11,7,30,1,26,1,3,1,0,13,16.517241379310345,104,1,1
flask_src_flask_json_provider.py,python,215,52,111,0.5162790697674419,46.576687116564415,89,3,3,11,3,10,0,0,1,0,1,8.272727272727273,21,0,1
flask_src_flask_json_tag.py,python,327,91,270,0.8256880733944955,38.940677966101696,80,0,4,37,11,9,2,0,1,0,0,3.135135135135135,26,0,1
flask_src_flask_json___init__.py,python,170,48,126,0.7411764705882353,45.368852459016395,84,1,2,5,0,6,0,0,1,0,1,22.0,24,0,1
flask_src_flask_logging.py,python,79,24,25,0.31645569620253167,42.78181818181818,80,0,3,3,0,6,1,0,1,0,0,14.333333333333334,18,0,1
flask_src_flask_sansio_app.py,python,1010,180,568,0.5623762376237624,47.23132530120482,101,21,9,42,1,34,9,1,1,0,11,13.285714285714286,113,1,1
flask_src_flask_sansio_blueprints.py,python,692,120,236,0.34104046242774566,47.02272727272727,89,38,5,40,2,34,8,0,1,0,4,11.894736842105264,84,1,1
flask_src_flask_sansio_scaffold.py,python,792,151,463,0.5845959595959596,47.13416536661467,89,39,8,43,1,31,4,2,1,0,3,12.69767441860465,128,1,1
flask_src_flask_sessions.py,python,385,75,265,0.6883116883116883,48.04516129032258,114,15,5,22,6,12,0,1,1,1,1,8.818181818181818,43,0,1
flask_src_flask_signals.py,python,17,3,1,0.058823529411764705,53.357142857142854,69,0,0,0,0,0,0,0,0,0,0,0.0,0,0,1
flask_src_flask_templating.py,python,212,46,43,0.2028301886792453,43.91566265060241,87,4,5,15,2,10,5,2,1,0,0,8.533333333333333,18,0,1
flask_src_flask_testing.py,python,298,61,77,0.25838926174496646,42.41772151898734,112,6,5,12,3,18,1,1,1,0,3,14.083333333333334,39,0,1
flask_src_flask_typing.py,python,87,10,14,0.16091954022988506,40.311688311688314,87,4,1,0,0,1,0,0,0,0,0,0.0,0,0,1
flask_src_flask_views.py,python,191,45,103,0.5392670157068062,47.37671232876713,111,4,5,9,4,8,4,0,1,0,0,12.0,38,0,1
flask_src_flask_wrappers.py,python,257,63,122,0.47470817120622566,48.15979381443299,89,10,4,12,2,14,0,1,1,0,3,10.0,22,0,1
flask_src_flask___init__.py,python,39,0,0,0.0,53.12820512820513,78,0,0,0,0,0,0,0,0,0,0,0.0,0,0,1
flask_src_flask___main__.py,python,3,1,0,0.0,14.5,22,0,0,0,0,0,0,0,0,0,0,0.0,0,0,1
git_git-p4.py,python,4628,831,1950,0.42134831460674155,45.30892810113247,228,255,14,200,18,732,125,22,1,36,39,17.537688442211056,265,16,1
git_abspath.c,c,327,44,242,0.7400611620795107,30.190812720848058,81,0,2,74,10,36,5,0,0,0,0,16.0,105,1,1
git_add-interactive.c,c,1266,194,1004,0.7930489731437599,31.50652985074627,84,0,2,212,95,134,20,0,0,2,2,22.714285714285715,108,5,1
git_add-patch.c,c,1945,210,1100,0.5655526992287918,32.62420749279539,80,0,3,256,53,244,30,0,0,0,3,36.55555555555556,375,7,1
git_advice.c,c,314,41,210,0.6687898089171974,36.1941391941392,96,0,2,49,3,26,3,0,0,0,0,12.894736842105264,52,1,1
git_alias.c,c,173,29,147,0.8497109826589595,25.680555555555557,70,0,2,35,6,20,4,0,0,2,1,15.875,47,0,1
git_alloc.c,c,129,20,91,0.7054263565891473,26.009174311926607,93,0,0,26,13,2,1,0,0,0,0,6.25,14,0,1
git_apply.c,c,5232,573,2531,0.4837538226299694,29.961150461472418,116,3,3,781,152,607,73,0,0,3,96,26.281045751633986,225,23,1
git_archive-tar.c,c,544,70,415,0.7628676470588235,29.88818565400844,112,1,7,138,15,49,9,0,0,0,16,15.291666666666666,63,1,1
git_archive-zip.c,c,666,88,386,0.5795795795795796,30.918685121107266,75,0,2,183,20,50,6,0,0,1,23,16.433333333333334,235,1,1
git_archive.c,c,827,110,513,0.6203143893591294,30.712691771269178,100,0,2,183,54,75,9,0,0,0,2,21.266666666666666,107,5,1
git_attr.c,c,1367,202,550,0.4023408924652524,29.952789699570815,103,1,3,257,56,108,28,0,0,2,5,14.014705882352942,78,2,1
git_base85.c,c,132,12,122,0.9242424242424242,23.683333333333334,64,0,1,28,0,12,10,0,0,0,14,13.0,34,0,1
git_bisect.c,c,1221,172,546,0.44717444717444715,30.101048617731173,96,0,2,239,54,98,25,0,0,1,6,20.829268292682926,101,2,1
git_blame.c,c,2950,302,1253,0.4247457627118644,32.47205438066465,115,3,3,350,203,228,66,0,0,0,7,17.91566265060241,127,6,1
git_blob.c,c,18,3,0,0.0,26.666666666666668,76,0,0,5,2,1,0,0,0,0,0,4.5,6,0,1
git_bloom.c,c,614,103,285,0.46416938110749184,29.44031311154599,109,1,2,112,25,49,14,0,0,0,16,17.6,107,1,1
git_branch.c,c,863,96,300,0.34762456546929316,33.01173402868318,132,2,2,167,41,73,5,0,1,3,1,26.458333333333332,98,5,1
git_bundle-uri.c,c,1001,157,374,0.37362637362637363,29.791469194312796,89,0,2,137,53,88,6,0,1,0,0,21.529411764705884,130,4,1
git_bundle.c,c,640,87,328,0.5125,30.171790235081374,105,1,3,128,35,69,8,0,0,0,1,24.75,108,4,1
git_cache-tree.c,c,1057,129,271,0.2563859981078524,28.441810344827587,135,1,2,168,56,108,20,0,0,0,7,26.870967741935484,188,3,1
git_cbtree.c,c,136,23,128,0.9411764705882353,30.920353982300885,80,0,1,23,10,9,5,0,0,0,1,15.833333333333334,50,0,1
git_chdir-notify.c,c,114,20,0,0.0,24.627659574468087,73,0,2,12,8,6,0,0,0,0,0,10.285714285714286,22,0,1
git_checkout.c,c,75,5,63,0.84,29.2,93,0,1,15,7,7,0,0,0,0,0,14.5,24,0,1
git_chunk-format.c,c,215,38,149,0.6930232558139535,27.6045197740113,92,0,2,33,9,9,5,0,0,0,0,10.615384615384615,45,0,1
git_color.c,c,500,59,288,0.576,25.693877551020407,85,0,2,78,4,52,7,0,0,1,22,16.91304347826087,91,2,1
git_column.c,c,412,62,277,0.6723300970873787,27.957142857142856,73,0,2,73,7,41,11,0,0,0,0,16.333333333333332,45,0,1
git_combine-diff.c,c,1672,181,1034,0.618421052631579,29.641851106639837,120,1,2,198,74,170,82,0,0,1,1,32.58536585365854,190,9,1
